Wallet	Amount
0x72a7197bbccbe6ee1e9c688645436ed06017768a	47584.966474107188344858
0x9ce7318fc46cddfaf3089327b4d58d54784e541c	82.1280689096
0x111115111fd0953445d624ceaac28d0ad0c9e74f	74.397842804882440926
0x4e2d0c204554c7f9cb1e3b3ac1e83dd3b4fc9622	678.041
0xb52736b178bf12f133b0bbd108650b3b4121ef5c	604.07273035
0x26afa29ce626d9dcc331ad5e0fbd454ad6362c7c	6500.75
0x1f4fe4426bb6936b1007bb0a30f2f46e7c1b64dd	6272.601576
0x01dbb419d66be0d389fab88064493f1d698dc27a	56370.777896189830879613
0xe8ebb13902a7ab342163d2a241c1e4891798b56f	5.7769065
0x4013f4f6ec28f84ea9071336466bf8916f179852	5.39
0xec0dc7522ff8d3da35924bfaebeb5b8d79121d61	5000.17599791
0xae50462e7ed5b22f31b1ed3a5ef3fb9220277ef7	499.356730829999992832
0xaac6ba6cb7d29722bedd1ee06bfccd30fa3c7581	48.99994499
0x3fec3c6e014e28566000a1be3cfcb43327d4b743	44227.178
0x0cc12572d4028e492a919fe82feeda53fe43782f	4.93025
0x01e5be25eb25a0b4ffb73d34a0b5b72b49dafa7a	4.06
0xd4d2a4b571109ad1397e953ab87d6e5feed031b2	4
0xd93719574b0bc5f691f5da8cae9599cec1f202c7	4
0x3d578574e5f8e5db7936b95220e335dca7e8bbce	38.17875028
0x20b014a0b669906781250cdcf9966d5c4ce1527a	33503.592326936608482886
0x7cda7e8f32f2c37e4aae627a98ed130eb4a678f8	3.063563208205383416
0x75520dafacbe7669820f82709ca2feae9ec4f57d	3500.05
0x73f879679b0fd8b25196834fe3e7a9615ea1b608	299.99504858999999999
0x111b3d565f5da36b1decdf19dfbb26dc6cd970c6	28.419574759402935608
0xb94f3a5ca67be4b33c73c16e84d7cd82277d772c	27.581716989999997952
0x062d1816ea36366a714c34b9b283f4d377dc0191	25.000000000000000001
0xb6a86c3ccb3f062e3208071cda361f7f47a6ed8e	20
0x40f69798812a1b2498d788a69e7e8edbadb72aad	2209.99
0xb68dd3322631244b553fea98040399a4258cf04d	2
0x039704a4ecf78b0e1eef8f181a7838a0c68876ca	2
0xed1475eee0c969d4877bd05ffdd6bfdc84b821da	185.22759049
0xd0f706bf4738732145344dc407d36b88859c3349	18729.683654445730378095
0xa113f56092cefb9255c56813de43c6ca2d80681c	17.2755
0xab88b9bc99476dd4d7d8a1d8381066519359f243	16.6
0x496d9b487b78090d9ba0b15950da35bc213dd4bc	147.306914
0xb7aa741108ae27e02401fef2101114e5b8bb0ad9	13.5
0xae307e3871e5a321c0559fbf0233a38c937b826a	120883.241813525696659043
0xfe7e3ee7d3fcd8f3957aafb8348a38d229e4409a	12017.531183558901529623
0x7bf67bdbf58a3c7a6eab82788273960702fb4dc9	12000.587
0x651a3731f717a17777c9d8d6f152aa9284978ea3	102.42
0xaa693f51d92179c282c700b7e2a6e7052823c291	1.5
0xd1f4b2bb61b2dec72d5222a6beb062a9575d6804	1.280317061668528324
0x5ed38634c678a8d5a95234b4b7b2ca07e5bb80a0	1.109664063772724648
0xc4623b433a77b870ef7a995c1443fe2e0657992b	1.1073
0x4c7e21914b6a1c7183455134e24023e88ee90cd1	1.07161036
0x50532e594bc045b75df5e57187e2e24d4655c21e	1.006
0x248c9bae4fee646906821155ef1a538e7ca978ec	1452.206529871658101802
