wallet,amount,cumulativeAmount
0x00e97dc9df137a4065418fe6475f9465b63d9f59,116800000000000,116800000000000
0x01dbb419d66be0d389fab88064493f1d698dc27a,56370777896189800000000,56370778012989800000000
0x01e5be25eb25a0b4ffb73d34a0b5b72b49dafa7a,4060000000000000000,56374838012989800000000
0x039704a4ecf78b0e1eef8f181a7838a0c68876ca,2000000000000000000,56376838012989800000000
0x03a62c4b61e7118025b8c253b2e09cf74ca0f31a,9000000000000000,56376847012989800000000
0x062d1816ea36366a714c34b9b283f4d377dc0191,25000000000000000000,56401847012989800000000
0x06c1edc5d0fb879ab8b129dcff1f7b704782508b,100000000000000000,56401947012989800000000
0x0ca95b38cd1551a3db33f2b7ebeb40db84eba8f9,9000000000000000,56401956012989800000000
0x0cc12572d4028e492a919fe82feeda53fe43782f,4930250000000000000,56406886262989800000000
0x10df28c3ccf3300dd8ff924d9f15440f46d918f7,90000000000000000,56406976262989800000000
0x111115111fd0953445d624ceaac28d0ad0c9e74f,74397842804882400000,56481374105794700000000
0x111b3d565f5da36b1decdf19dfbb26dc6cd970c6,28419574759402900000,56509793680554100000000
0x1971066fa9419a03a07cca394204915818d6c140,9000000000000000,56509802680554100000000
0x1f4fe4426bb6936b1007bb0a30f2f46e7c1b64dd,6272601576000000000000,62782404256554100000000
0x1f6cbb740f7eeb4806276376e7378dd1fa36fc11,993861778431750000,62783398118332500000000
0x20b014a0b669906781250cdcf9966d5c4ce1527a,33503592326936600000000,96286990445269100000000
0x21d32aa7d6f763a21276189046f45423dc37b14e,9000000000000000,96286999445269100000000
0x2270be634ed8130a0402cd106de1f04ea35fa0a9,10000000000000000,96287009445269100000000
0x22dc62c96de482743b231f29326a3d18b2d73eb2,100000000000000000,96287109445269100000000
0x248743463983b3b0c667717bb8c30e5ac79199bb,5000000000000000,96287114445269100000000
0x248c9bae4fee646906821155ef1a538e7ca978ec,1452206529871650000000,97739320975140800000000
0x2499e22e19b0af3c1ab82071db2a9c4fd7ed328d,1000000000000000,97739321975140800000000
0x25e4af0dd6f4f7127a82a5a82a53e1e6aace4835,28000000000000000,97739349975140800000000
0x260a28a165081f5cfe94454543514e76ae746410,60000000000000000,97739409975140800000000
0x26afa29ce626d9dcc331ad5e0fbd454ad6362c7c,6500750000000000000000,104240159975141000000000
0x2993753c24323d9152e69f6589109f67b2921dac,19000000000000000,104240178975141000000000
0x2c6647d4c95b9e064ceb48727cb4f4918c16d824,50000000000000000,104240228975141000000000
